"","scientific_name","longitude","latitude","species_observed"
"266","Aerodramus fuciphagus",144.146335,-13.778366,TRUE
"267","Aerodramus fuciphagus",136.666631,-13.777137,TRUE
"268","Aerodramus fuciphagus",134.2205015,-13.7731843,TRUE
"269","Aerodramus fuciphagus",130.62497,-13.769722,TRUE
"270","Aerodramus fuciphagus",131.4399028,-13.7659606,TRUE
"271","Aerodramus fuciphagus",130.7060966,-13.7619452,TRUE
"272","Aerodramus fuciphagus",131.58333,-13.75,TRUE
"273","Aerodramus fuciphagus",135.914765,-13.746749,TRUE
"274","Aerodramus fuciphagus",134.327478,-13.735426,TRUE
"275","Aerodramus fuciphagus",131.714545,-13.726664,TRUE
"276","Aerodramus fuciphagus",136.9216032,-13.7176035,TRUE
"277","Aerodramus fuciphagus",134.274566,-13.716861,TRUE
"278","Aerodramus fuciphagus",131.3973517,-13.7033563,TRUE
"279","Aerodramus fuciphagus",130.6711965,-13.7026025,TRUE
"280","Aerodramus fuciphagus",131.0568523,-13.6990282,TRUE
"281","Aerodramus fuciphagus",136.7292087,-13.694381,TRUE
"282","Aerodramus fuciphagus",136.4494014,-13.6820163,TRUE
"283","Aerodramus fuciphagus",136.616002,-13.679847,TRUE
"284","Aerodramus fuciphagus",131.984744,-13.678728,TRUE
"285","Aerodramus fuciphagus",136.9008448,-13.6726739,TRUE
"286","Aerodramus fuciphagus",135.9075201,-13.6589981,TRUE
"287","Aerodramus fuciphagus",132.065798,-13.6569468,TRUE
"288","Aerodramus fuciphagus",132.1371171,-13.6499725,TRUE
"289","Aerodramus fuciphagus",134.3689409,-13.6486321,TRUE
"290","Aerodramus fuciphagus",132.612486,-13.643924,TRUE
"291","Aerodramus fuciphagus",134.308558,-13.643169,TRUE
"292","Aerodramus fuciphagus",136.94573,-13.639032,TRUE
"293","Aerodramus fuciphagus",142.5716667,-13.6327778,TRUE
"294","Aerodramus fuciphagus",131.5487158,-13.6299928,TRUE
"295","Aerodramus fuciphagus",131.596431,-13.623534,TRUE
"296","Aerodramus fuciphagus",143.06344,-13.62338,TRUE
"297","Aerodramus fuciphagus",136.7001046,-13.6172031,TRUE
"298","Aerodramus fuciphagus",130.5948873,-13.607737,TRUE
"299","Aerodramus fuciphagus",132.2191672,-13.605772,TRUE
"300","Aerodramus fuciphagus",134.42725,-13.598758,TRUE
"301","Aerodramus fuciphagus",136.3206175,-13.5900296,TRUE
"302","Aerodramus fuciphagus",131.457624,-13.589276,TRUE
"303","Aerodramus fuciphagus",142.56583,-13.58667,TRUE
"304","Aerodramus fuciphagus",132.254505,-13.574514,TRUE
"305","Aerodramus fuciphagus",132.55194,-13.5475,TRUE
"306","Aerodramus fuciphagus",131.423976,-13.547427,TRUE
"307","Aerodramus fuciphagus",132.308647,-13.543761,TRUE
"308","Aerodramus fuciphagus",131.702818,-13.540352,TRUE
"309","Aerodramus fuciphagus",131.248969,-13.540099,TRUE
"310","Aerodramus fuciphagus",131.548547,-13.538795,TRUE
"311","Aerodramus fuciphagus",130.868266,-13.537045,TRUE
"312","Aerodramus fuciphagus",131.365445,-13.535565,TRUE
"313","Aerodramus fuciphagus",132.47823,-13.53248,TRUE
